User Address,NB TX,NATIVE DROP,STARGATE SWAP,src | dest | contract,day | week | month,Initial Active Date,Last Active Date,isSybil
0xd19cd1baf21dca3ef56636e90c6d2002cbf936a0,27,0.00,257.18,5 | 9 | 7,17 | 9 | 4,2023-05-28,2023-09-04,false
0x2ba5c48bcb285bcd38e12f249d39f55ccb5a7e26,31,0.00,407.54,5 | 9 | 7,16 | 8 | 4,2023-05-24,2023-09-05,false
0xf034e7d0b10b6c8dbd9592bfa69cedaa44acce7e,24,0.00,362.60,5 | 9 | 7,15 | 9 | 5,2023-05-26,2023-09-01,false
0x6235f5ed3bcc932965a9e14ecc1e7ff07d36741d,27,0.00,425.84,5 | 8 | 7,18 | 10 | 5,2023-05-29,2023-09-01,false
0x631a9d80049d171c34f5ea7a258523a5750027f2,28,0.00,481.52,5 | 8 | 6,18 | 9 | 5,2023-05-28,2023-09-01,false
0x7064c1d700b4a8a878897f655f0af2a42fdf35c6,25,0.00,405.03,5 | 9 | 7,16 | 8 | 5,2023-05-30,2023-09-01,false
0xa4f031c34f192ce46676d558b3edc40b5f8609b6,29,0.00,324.48,5 | 9 | 7,19 | 9 | 5,2023-05-29,2023-10-05,false
0x849b18f08496c226915708bc09610d3788fa87e0,32,0.00,1891.20,5 | 10 | 7,18 | 9 | 5,2023-05-19,2023-11-17,false
0x7a13e7c344f66d58cf9340e074e205f87b8d1e53,28,0.00,295.23,5 | 8 | 6,19 | 10 | 5,2023-05-29,2023-09-01,false
0x0e5e47323f7b2613c3caf371ab950f8fdebc9ea5,33,0.00,389.66,5 | 9 | 7,21 | 11 | 5,2023-05-24,2023-09-01,false
0x890cecec6dc6c3ff6464297de7a3715f0ce43e7b,31,0.00,252.43,5 | 9 | 7,21 | 12 | 5,2023-05-26,2023-09-01,false
0x9573be9767cd4d09e226093f3c6da4f13e5b1031,35,0.00,347.43,5 | 9 | 7,22 | 12 | 6,2023-05-24,2023-11-02,false
